post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47707269,What Game Engines Know About Data That Databases Forgot,technology,36,20,speckx,2026-04-09 19:23:20,0.5405405405405406,False
47706141,Research-Driven Agents: What Happens When Your Agent Reads Before It Codes,technology,36,7,hopechong,2026-04-09 19:23:20,0.1891891891891892,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,210,165,kisamoto,2026-04-09 19:23:20,0.7819905213270142,True
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,98,9,juretriglav,2026-04-09 19:23:20,0.09090909090909091,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,110,80,SirHound,2026-04-09 19:23:20,0.7207207207207207,False
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,233,83,akshay2603,2026-04-09 19:23:20,0.3547008547008547,True
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,32,38,meryll_dindin,2026-04-09 19:23:20,1.1515151515151516,False
47701233,Claude mixes up who said what,technology,374,306,sixhobbits,2026-04-09 19:23:20,0.816,True
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,389,46,WerWolv,2026-04-09 19:23:20,0.11794871794871795,True
47660434,C# in Unity 2026: Writing more modern code,technology,66,80,hacker_13,2026-04-09 19:23:20,1.1940298507462686,False
47687273,Git commands I run before reading any code,technology,2171,463,grepsedawk,2026-04-09 19:23:20,0.21316758747697975,True
47706113,"Desalination Technology, by the Numbers",technology,13,0,Brajeshwar,2026-04-09 19:23:20,0.0,False
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,42,15,bjord,2026-04-09 19:23:20,0.3488372093023256,False
47700460,Ask HN: What are you building that's not AI related?,technology,103,125,meander_water,2026-04-09 19:23:20,1.2019230769230769,False
47706482,"AI, Unemployment and Work",technology,8,3,speckx,2026-04-09 19:23:20,0.3333333333333333,False
47696035,John Deere to pay $99M in right-to-repair settlement,technology,364,119,CharlesW,2026-04-09 19:23:20,0.32602739726027397,True
47689237,US cities are axing Flock Safety surveillance technology,technology,739,416,giuliomagnifico,2026-04-09 19:23:20,0.5621621621621622,True
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,407,188,nickvec,2026-04-09 19:23:20,0.46078431372549017,True
47679121,Project Glasswing: Securing critical software for the AI era,technology,1506,814,Ryan5453,2026-04-09 19:23:20,0.5401459854014599,True
47656518,Your File System Is Already A Graph Database,technology,180,75,alxndr,2026-04-09 19:23:20,0.4143646408839779,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,321,56,chrsw,2026-04-09 19:23:20,0.17391304347826086,True
47698067,You Can Just Print an Air Purifier,technology,35,6,zdw,2026-04-09 19:23:20,0.16666666666666666,False
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,2026-04-09 19:23:20,0.23636363636363636,False
47703498,White-Collar Workers Are Rebelling Against AI – 80% Refuse Adoption Mandates,technology,22,6,sarimkx,2026-04-09 19:23:20,0.2608695652173913,False
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,211,210,bundie,2026-04-09 19:23:20,0.9905660377358491,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,381,361,chabons,2026-04-09 19:23:22,0.9450261780104712,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,613,260,zixuanlimit,2026-04-09 19:23:22,0.4234527687296417,True
47680124,IPv6 is the only way forward,worldnews,102,306,quaintdev,2026-04-09 19:23:22,2.970873786407767,False
47701971,AI and remote work is a disaster for junior software engineers,worldnews,17,7,gpi,2026-04-09 19:23:22,0.3888888888888889,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-09 19:23:22,0.22608695652173913,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,122,19,ductionist,2026-04-09 19:23:22,0.15447154471544716,False
47695647,The AI Great Leap Forward,worldnews,120,56,jodah,2026-04-09 19:23:22,0.4628099173553719,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,56,18,zdw,2026-04-09 19:23:22,0.3157894736842105,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 19:23:22,0.49382716049382713,True
47691313,"Databricks co-founder wins prestigious ACM award, says 'AGI is here already'",worldnews,7,4,salkahfi,2026-04-09 19:23:22,0.5,False
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-09 19:23:22,0.2830188679245283,True
