post_id,title,category,score,num_comments,author,collected_at
47707269,What Game Engines Know About Data That Databases Forgot,technology,36,20,speckx,2026-04-09 19:23:20
47706141,Research-Driven Agents: What Happens When Your Agent Reads Before It Codes,technology,36,7,hopechong,2026-04-09 19:23:20
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,210,165,kisamoto,2026-04-09 19:23:20
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,98,9,juretriglav,2026-04-09 19:23:20
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,110,80,SirHound,2026-04-09 19:23:20
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,233,83,akshay2603,2026-04-09 19:23:20
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,32,38,meryll_dindin,2026-04-09 19:23:20
47701233,Claude mixes up who said what,technology,374,306,sixhobbits,2026-04-09 19:23:20
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,389,46,WerWolv,2026-04-09 19:23:20
47660434,C# in Unity 2026: Writing more modern code,technology,66,80,hacker_13,2026-04-09 19:23:20
47687273,Git commands I run before reading any code,technology,2171,463,grepsedawk,2026-04-09 19:23:20
47706113,"Desalination Technology, by the Numbers",technology,13,0,Brajeshwar,2026-04-09 19:23:20
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,42,15,bjord,2026-04-09 19:23:20
47700460,Ask HN: What are you building that's not AI related?,technology,103,125,meander_water,2026-04-09 19:23:20
47706482,"AI, Unemployment and Work",technology,8,3,speckx,2026-04-09 19:23:20
47696035,John Deere to pay $99M in right-to-repair settlement,technology,364,119,CharlesW,2026-04-09 19:23:20
47689237,US cities are axing Flock Safety surveillance technology,technology,739,416,giuliomagnifico,2026-04-09 19:23:20
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,407,188,nickvec,2026-04-09 19:23:20
47679121,Project Glasswing: Securing critical software for the AI era,technology,1506,814,Ryan5453,2026-04-09 19:23:20
47656518,Your File System Is Already A Graph Database,technology,180,75,alxndr,2026-04-09 19:23:20
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,321,56,chrsw,2026-04-09 19:23:20
47698067,You Can Just Print an Air Purifier,technology,35,6,zdw,2026-04-09 19:23:20
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,2026-04-09 19:23:20
47703498,White-Collar Workers Are Rebelling Against AI – 80% Refuse Adoption Mandates,technology,22,6,sarimkx,2026-04-09 19:23:20
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,211,210,bundie,2026-04-09 19:23:20
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,381,361,chabons,2026-04-09 19:23:22
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,613,260,zixuanlimit,2026-04-09 19:23:22
47680124,IPv6 is the only way forward,worldnews,102,306,quaintdev,2026-04-09 19:23:22
47701971,AI and remote work is a disaster for junior software engineers,worldnews,17,7,gpi,2026-04-09 19:23:22
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-09 19:23:22
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,122,19,ductionist,2026-04-09 19:23:22
47695647,The AI Great Leap Forward,worldnews,120,56,jodah,2026-04-09 19:23:22
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,56,18,zdw,2026-04-09 19:23:22
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 19:23:22
47691313,"Databricks co-founder wins prestigious ACM award, says 'AGI is here already'",worldnews,7,4,salkahfi,2026-04-09 19:23:22
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-09 19:23:22
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,27,1,ibobev,2026-04-09 19:23:22
47704700,"'Snoopy', 'Adolf' and 'Password': The Hungarian Government Passwords Exposed",worldnews,12,3,lschueller,2026-04-09 19:23:22
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,978,621,zaikunzhang,2026-04-09 19:23:22
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,31,12,brene,2026-04-09 19:23:22
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-09 19:23:22
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,37,23,beardyw,2026-04-09 19:23:22
47694303,The demise of software engineering jobs has been greatly exaggerated,worldnews,19,5,ryan_j_naughton,2026-04-09 19:23:22
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09 19:23:22
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-09 19:23:22
47697711,The World Needs More Software Engineers – Box CEO,worldnews,7,4,alwinaugustin,2026-04-09 19:23:22
47691860,Supply chain nightmare: How Rust will be attacked and how to mitigate attacks,worldnews,10,0,randomint64,2026-04-09 19:23:22
47663743,"Show HN: Moon simulator game, ray-casting",sports,87,19,JKCalhoun,2026-04-09 19:23:24
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,108,31,pruz,2026-04-09 19:23:24
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-09 19:23:24
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-09 19:23:24
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,166,261,tantalor,2026-04-09 19:23:24
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,15,0,russellharper,2026-04-09 19:23:24
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,538,163,akyuu,2026-04-09 19:23:24
47640728,Show HN: A game where you build a GPU,sports,957,187,Jaso1024,2026-04-09 19:23:24
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-09 19:23:24
47637377,LÖVE: 2D Game Framework for Lua,sports,414,217,cl3misch,2026-04-09 19:23:24
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 19:23:24
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,223,148,pseudolus,2026-04-09 19:23:24
47694234,Strait of Hormuz appears to remain closed amid conflicting US and Iran briefings,sports,20,4,gridder,2026-04-09 19:23:24
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09 19:23:24
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 19:23:24
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,95,134,elsewhen,2026-04-09 19:23:26
47622717,Study investigates how mass distribution of baseball bat affects performance,science,24,17,Magi604,2026-04-09 19:23:26
47627217,Running out of disk space in production,science,219,128,romes,2026-04-09 19:23:26
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 19:23:26
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-09 19:23:26
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-09 19:23:26
47648404,My Google Workspace account suspension,science,369,221,zenincognito,2026-04-09 19:23:26
47629485,A case study in testing with 100+ Claude agents in parallel,science,68,54,thejash,2026-04-09 19:23:26
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 19:23:26
47694520,Gmail / Google Workspace Incendent Underway,science,8,2,vapemaster,2026-04-09 19:23:26
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,66,66,randerson_112,2026-04-09 19:23:28
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,34,22,behat,2026-04-09 19:23:28
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,9,1,eummm,2026-04-09 19:23:28
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,137,45,willmeyers,2026-04-09 19:23:28
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,55,DamnInteresting,2026-04-09 19:23:28
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,61,18,meribold,2026-04-09 19:23:28
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,131,144,latchkey,2026-04-09 19:23:28
47696562,Show HN: Is Hormuz open yet?,entertainment,439,192,anonfunction,2026-04-09 19:23:28
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,11,rvitorper,2026-04-09 19:23:28
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,entertainment,48,37,dreamsome,2026-04-09 19:23:28
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,106,56,indraneelpatil,2026-04-09 19:23:28
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,24,vkatluri,2026-04-09 19:23:28
47689319,Show HN: Skrun – Deploy any agent skill as an API,entertainment,57,11,frizull,2026-04-09 19:23:28
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,778,235,sam-bee,2026-04-09 19:23:28
47705383,CDC delays publishing report showing Covid vaccine benefits,entertainment,17,2,ceejayoz,2026-04-09 19:23:28
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,entertainment,15,4,guitarlimeo,2026-04-09 19:23:28
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,285,68,frasermarlow,2026-04-09 19:23:28
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,229,27,MediaSquirrel,2026-04-09 19:23:28
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-09 19:23:28
47699105,Show HN: Image to Music AI – Turn Any Photo into an Original Soundtrack,entertainment,5,3,airobus,2026-04-09 19:23:28
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09 19:23:28
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,199,MattHart88,2026-04-09 19:23:28
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,16,8,xarchive,2026-04-09 19:23:28
47655408,Show HN: I built a tiny LLM to demystify how language models work,entertainment,902,134,armanified,2026-04-09 19:23:28
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,115,32,noone_youknow,2026-04-09 19:23:28
